customer_id,name,age,city,income,signup_date
00069,Noah Albrecht,40,Munich,146269.91,08/14/2022
00070,Zeno Vogel,49,Munich,49675.67,11/24/2025
00071,David Meyer,22,Cologne,59477.23,03/04/2024
00072,Lukas Jung,47,Hamburg,28667.99,2020-03-02
00073,Mia Keller,53,Berlin,174867.81,2021-02-17
00074,Lukas Ulrich,83,Cologne,130325.31,2024-01-06
00075,Klara Albrecht,32,Munich,52678.01,2020-12-23
00076,Ben Dorn,73,Munich,137924.48,2021-07-08
00077,Noah Thiel,83,Berlin,84705.29,2024-06-19
00078,Greta Iversen,23,Cologne,25262.15,2024-01-15
00079,Vera Zimmer,43,Munich,91851.10,2025-06-13
00080,Klara Thiel,58,Berlin,136561.91,2021-05-15
00081,Quirin Jung,70,Munich,950000.00,2021-04-26
00082,Rosa Engel,42,Cologne,128064.06,2022-04-02
00083,Vera Zimmer,40,Frankfurt,113211.31,2022-07-22
00084,Rosa Albrecht,56,Munich,57578.32,2024-07-03
00085,Tara Ulrich,59,Cologne,93476.83,2025-07-30
00086,Greta Quandt,78,Hamburg,127121.87,2021-03-08
00087,Quirin Vogel,60,Berlin,151855.64,2020-08-20
00088,Vera Jung,46,Hamburg,47839.86,2018-07-09
00089,Hugo Peters,27,Cologne,89238.36,2025-01-23
00090,Simon Graf,67,Cologne,86946.19,2019-08-28
00091,Ulf Weber,18,Berlin,145655.16,2020-06-15
00092,Felix Weber,84,Cologne,32783.85,2020-10-17
00093,David Otto,35,Cologne,128474.55,2024-04-08
00094,Tara Keller,74,Frankfurt,151326.01,2023-08-30
00095,Noah Richter,75,Hamburg,140266.59,2023-04-29
00096,Olga Iversen,49,Munich,143701.12,2023-11-06
00097,Paul Ulrich,48,Munich,93180.25,2021-03-16
00098,Hugo Iversen,60,Munich,163419.16,2018-11-27
00099,Emma Engel,47,Cologne,132562.22,2025-12-03
00100,Greta Christ,71,Cologne,76286.62,2023-03-24
00101,Noah Bauer,44,Cologne,85368.91,2024-07-20
00102,Wanda Albrecht,66,Cologne,25913.89,2021-12-11
00103,Jonas Meyer,71,Frankfurt,140864.93,2024-02-15
00104,Zeno Thiel,46,Cologne,59010.35,2022-11-21
00105,Paul Albrecht,67,Munich,128675.41,2022-07-15
00106,Xaver Fischer,77,Hamburg,177011.91,2023-12-28
00107,Anna Meyer,90,Berlin,38011.86,2022-10-22
00108,Emma Otto,41,Berlin,65324.23,2021-09-02
00109,Greta Otto,59,Munich,142990.60,2022-04-02
00110,Ida Neumann,50,Berlin,97897.56,2024-01-19
00111,Ben Lang,46,Berlin,146091.12,2025-04-23
00112,Ben Albrecht,49,Hamburg,155080.47,2024-12-19
00113,Emma Hoffmann,34,Cologne,128766.12,2024-04-29
00114,Greta Otto,50,Munich,51007.32,2024-10-23
00115,Xaver Weber,32,Hamburg,174531.72,2019-03-19
00116,Simon Albrecht,57,Frankfurt,129988.83,2022-03-18
00117,Mia Weber,43,Berlin,116775.17,2025-01-13
00118,Hugo Dorn,56,Frankfurt,149856.83,2024-05-07
00119,Zeno Bauer,62,Frankfurt,91398.59,2022-02-26
00120,Clara Quandt,61,Berlin,156684.22,2023-07-01
00121,David Neumann,64,Cologne,134632.84,2022-11-19
00122,Felix Zimmer,84,Munich,120466.41,2024-01-14
00123,Yara Peters,77,Cologne,152988.86,2024-08-23
00124,Ida Keller,49,Berlin,68233.88,2023-01-21
00125,Hugo Otto,90,Frankfurt,128569.21,2021-10-09
00126,Anna Peters,59,Hamburg,100570.24,2021-12-24
00127,Zeno Iversen,61,Munich,161449.60,2025-11-12
00128,Ida Richter,19,Frankfurt,171949.70,2018-12-17
00129,Hugo Zimmer,70,Cologne,111052.31,2020-09-11
00130,Wanda Peters,80,Cologne,147904.59,2019-01-17
00131,Jonas Hoffmann,69,Hamburg,72461.93,2024-07-10
00132,Lukas Peters,88,Frankfurt,78282.40,2024-03-04
00133,Klara Lang,76,Munich,72526.56,2020-08-02
00134,David Zimmer,42,Munich,43530.98,2024-01-04
00135,Yara Weber,41,Hamburg,58539.62,2023-06-07
00136,Ida Zimmer,85,Frankfurt,68864.80,2019-02-16
00137,Greta Jung,47,Munich,52813.44,2018-02-27
00138,Wanda Richter,34,Munich,32054.93,2018-08-12
00139,Rosa Jung,34,Cologne,40901.09,2018-02-20
00140,Simon Jung,78,Cologne,93272.66,2020-01-26
00141,Ben Iversen,79,Berlin,152427.93,2022-06-30
00142,Paul Christ,24,Hamburg,48125.63,2024-04-24
00143,Jonas Christ,49,Berlin,111501.32,2022-09-01
00144,Tara Thiel,46,Frankfurt,83958.59,2022-12-19
00145,Jonas Schmidt,72,Munich,113137.57,2018-09-04
00146,Tara Zimmer,30,Hamburg,121954.83,2020-12-19
00147,Vera Christ,38,Hamburg,51941.10,2018-11-04
00148,Felix Albrecht,70,Cologne,131852.53,2023-04-09
00149,Jonas Bauer,47,Munich,134578.15,2025-11-19
00150,Olga Christ,47,Munich,147113.34,2025-01-04
00151,Simon Vogel,43,Cologne,42790.33,2020-07-09
00152,Ulf Engel,52,Hamburg,36068.52,2019-11-11
00153,Zeno Jung,90,Munich,93068.78,2023-04-04
00154,Wanda Jung,69,Munich,102573.19,2023-07-16
00155,Olga Christ,23,Cologne,138852.76,2024-10-08
00156,Ida Albrecht,29,Hamburg,174096.22,2024-06-14
00157,Simon Albrecht,52,Frankfurt,31235.91,2019-12-19
00158,Paul Quandt,74,Munich,53130.82,2024-07-25
00159,Noah Ulrich,80,Berlin,97851.61,2022-07-31
00160,Klara Keller,31,Hamburg,76119.57,2025-10-12
00161,Paul Jung,69,Frankfurt,30688.06,2018-12-27
00162,Klara Iversen,59,Berlin,175378.63,2022-07-14
00163,Quirin Albrecht,87,Cologne,89053.37,2020-02-08
00164,Quirin Lang,81,Cologne,142798.53,2020-04-13
00165,Ida Richter,34,Munich,92907.99,2025-10-31
00166,Paul Dorn,21,Frankfurt,148893.63,2025-12-17
00167,Felix Jung,88,Berlin,110598.97,2019-01-17
00168,Hugo Dorn,77,Berlin,125395.00,2019-09-23
00169,Paul Weber,55,Frankfurt,134338.80,2022-08-29
00170,Paul Peters,49,Cologne,110446.09,2022-04-21
00171,Greta Thiel,83,Hamburg,158924.17,2021-02-05
00172,Yara Neumann,61,Frankfurt,66411.76,2018-01-11
00173,Jonas Zimmer,56,Frankfurt,114888.12,2025-05-27
00174,Paul Engel,75,Frankfurt,100072.91,2021-09-23
00175,Rosa Richter,66,Cologne,169592.10,2020-02-12
00176,Wanda Hoffmann,67,Hamburg,157682.01,2022-08-10
00177,Ben Keller,78,Cologne,84842.21,2025-06-11
00178,Zeno Ulrich,37,Cologne,174547.79,2019-06-02
00179,Quirin Schmidt,60,Berlin,160499.51,2022-12-09
00180,David Quandt,76,Berlin,136978.79,2022-08-07
00181,Ulf Engel,27,Cologne,146136.42,2020-12-21
00182,Klara Thiel,68,Berlin,157023.62,2025-07-25
00183,Rosa Meyer,58,Cologne,160219.37,2018-05-28
00184,Tara Christ,48,Munich,179601.02,2019-01-06
00185,Noah Dorn,30,Cologne,50786.54,2021-05-11
00186,Anna Bauer,59,Berlin,70472.01,2022-03-16
00187,Noah Engel,49,Frankfurt,88868.02,2025-08-24
00188,Zeno Fischer,39,Hamburg,37240.09,2022-04-16
00189,Tara Vogel,48,Cologne,166488.50,2019-08-10
00190,Hugo Otto,50,Cologne,64575.64,2018-02-08
00191,Zeno Otto,54,Frankfurt,49486.22,2022-12-15
00192,Lukas Schmidt,56,Cologne,131998.59,2023-02-15
00193,Jonas Graf,67,Cologne,41531.26,2022-04-12
00194,Simon Lang,55,Munich,28400.64,2025-05-20
00195,Mia Iversen,19,Frankfurt,159085.45,2018-07-20
00196,Tara Zimmer,81,Munich,145239.85,2020-07-31
00197,Tara Lang,46,Hamburg,121238.13,2025-08-08
00198,Yara Zimmer,35,Berlin,165027.57,2025-04-01
00199,Ben Jung,74,Berlin,114833.94,2019-06-23
00200,Clara Jung,59,Cologne,52224.21,2019-06-26
00002,  Xaver Dorn ,87,Berlin,116526.34,2018-05-11
00013,Xaver Hoffmann,NA,Cologne,83815.59,2025-03-06
00022,Anna Vogel,32,Frankfurt,"141,386.06",2025-03-10
00034,Rosa Hoffmann,,Berlin,36003.93,2025-01-28
00046,Vera Weber,80,Hamburg,54434.17,2020-06-10
00053,Vera Weber,999,Hamburg,66170.25,2019-06-21
00064,Wanda Neumann,89,Berlin,42340.45,13/10/2025
00069,Noah Albrecht,40,Munich,146269.91,08/14/2022
00076,Ben Dorn,73,Munich,137924.48,2021-07-08
00083,Vera Zimmer,40,Frankfurt,113211.31,2022-07-22
